Year ,Car_Age,MILEAGE,CAR_PRICE
2008,15,61760,10950
2009,14,133986,9999
2010,13,121062,9917
2011,12,98000,11450
2012,11,144319,9995
2013,10,30180,16999
2014,9,100997,12999
2015,8,110078,6800
2016,7,80497,15999
2017,6,62727,15998
2018,5,49553,17995
2019,4,71405,16998
2020,3,30984,22581
2021,2,18595,23968
2022,1,11460,21998
2023,0,0,23023
