Date,Open,High,Low,Close,Adj Close,Volume
2022-10-20,4155.000000,4245.000000,3455.000000,3455.000000,3455.000000,1689500
2022-10-21,3035.000000,3175.000000,2824.000000,2887.000000,2887.000000,1199400
2022-10-24,2891.000000,2985.000000,2678.000000,2698.000000,2698.000000,296600
2022-10-25,2661.000000,2915.000000,2631.000000,2864.000000,2864.000000,263800
2022-10-26,2814.000000,2814.000000,2566.000000,2566.000000,2566.000000,197200
2022-10-27,2580.000000,2620.000000,2492.000000,2492.000000,2492.000000,65900
2022-10-28,2460.000000,2558.000000,2424.000000,2448.000000,2448.000000,49100
2022-10-31,2485.000000,2495.000000,2424.000000,2495.000000,2495.000000,21600
2022-11-01,2505.000000,2550.000000,2456.000000,2545.000000,2545.000000,48200
2022-11-02,2546.000000,2546.000000,2356.000000,2374.000000,2374.000000,50300
2022-11-04,2341.000000,2345.000000,2242.000000,2242.000000,2242.000000,39800
2022-11-07,2287.000000,2287.000000,2210.000000,2276.000000,2276.000000,19200
2022-11-08,2250.000000,2280.000000,2230.000000,2241.000000,2241.000000,14900
2022-11-09,2286.000000,2377.000000,2269.000000,2365.000000,2365.000000,25000
2022-11-10,2340.000000,2456.000000,2308.000000,2308.000000,2308.000000,30700
2022-11-11,2309.000000,2313.000000,2190.000000,2191.000000,2191.000000,32900
2022-11-14,2172.000000,2172.000000,2048.000000,2080.000000,2080.000000,21900
2022-11-15,2099.000000,2172.000000,2072.000000,2163.000000,2163.000000,13600
2022-11-16,2163.000000,2163.000000,2080.000000,2143.000000,2143.000000,12800
2022-11-17,2118.000000,2154.000000,2060.000000,2125.000000,2125.000000,11800
2022-11-18,2125.000000,2249.000000,2125.000000,2249.000000,2249.000000,18400
2022-11-21,2278.000000,2280.000000,2203.000000,2228.000000,2228.000000,12500
2022-11-22,2239.000000,2239.000000,2164.000000,2219.000000,2219.000000,8500
2022-11-24,2219.000000,2219.000000,2155.000000,2160.000000,2160.000000,14500
2022-11-25,2160.000000,2174.000000,2158.000000,2162.000000,2162.000000,4500
2022-11-28,2161.000000,2169.000000,2097.000000,2124.000000,2124.000000,13200
2022-11-29,2135.000000,2135.000000,2100.000000,2126.000000,2126.000000,6700
2022-11-30,2136.000000,2137.000000,2115.000000,2121.000000,2121.000000,3700
2022-12-01,2132.000000,2132.000000,2070.000000,2070.000000,2070.000000,13200
2022-12-02,2060.000000,2060.000000,1986.000000,1997.000000,1997.000000,16600
2022-12-05,2010.000000,2010.000000,1820.000000,1852.000000,1852.000000,24100
2022-12-06,1850.000000,1934.000000,1831.000000,1900.000000,1900.000000,10200
2022-12-07,1874.000000,1915.000000,1852.000000,1900.000000,1900.000000,4000
2022-12-08,1911.000000,1911.000000,1851.000000,1851.000000,1851.000000,3800
2022-12-09,1851.000000,1880.000000,1836.000000,1858.000000,1858.000000,3200
2022-12-12,1858.000000,1900.000000,1850.000000,1859.000000,1859.000000,4800
2022-12-13,1897.000000,1897.000000,1853.000000,1855.000000,1855.000000,2000
2022-12-14,1852.000000,1855.000000,1832.000000,1832.000000,1832.000000,4600
2022-12-15,1830.000000,1864.000000,1815.000000,1864.000000,1864.000000,6800
2022-12-16,1838.000000,1839.000000,1820.000000,1821.000000,1821.000000,5700
2022-12-19,1830.000000,1830.000000,1721.000000,1779.000000,1779.000000,9200
2022-12-20,1762.000000,1762.000000,1619.000000,1628.000000,1628.000000,18300
2022-12-21,1628.000000,1628.000000,1561.000000,1591.000000,1591.000000,6800
2022-12-22,1582.000000,1615.000000,1561.000000,1561.000000,1561.000000,6600
2022-12-23,1550.000000,1550.000000,1507.000000,1524.000000,1524.000000,12500
2022-12-26,1525.000000,1525.000000,1468.000000,1479.000000,1479.000000,11100
2022-12-27,1497.000000,1555.000000,1480.000000,1495.000000,1495.000000,14200
2022-12-28,1504.000000,1505.000000,1440.000000,1461.000000,1461.000000,16700
2022-12-29,1491.000000,1610.000000,1488.000000,1553.000000,1553.000000,8600
2022-12-30,1547.000000,1570.000000,1527.000000,1558.000000,1558.000000,2400
2023-01-04,1585.000000,1585.000000,1540.000000,1541.000000,1541.000000,3800
2023-01-05,1542.000000,1559.000000,1539.000000,1544.000000,1544.000000,3100
2023-01-06,1564.000000,1700.000000,1547.000000,1700.000000,1700.000000,9400
2023-01-10,1700.000000,1700.000000,1631.000000,1674.000000,1674.000000,4000
2023-01-11,1674.000000,1684.000000,1654.000000,1675.000000,1675.000000,2700
2023-01-12,1675.000000,1675.000000,1630.000000,1660.000000,1660.000000,2700
2023-01-13,1660.000000,1693.000000,1660.000000,1664.000000,1664.000000,2300
2023-01-16,1699.000000,1790.000000,1692.000000,1780.000000,1780.000000,13700
2023-01-17,1808.000000,1809.000000,1701.000000,1739.000000,1739.000000,6200
2023-01-18,1724.000000,1765.000000,1703.000000,1740.000000,1740.000000,2500
2023-01-19,1719.000000,1738.000000,1718.000000,1730.000000,1730.000000,1300
2023-01-20,1729.000000,1750.000000,1716.000000,1748.000000,1748.000000,2000
2023-01-23,1740.000000,1779.000000,1730.000000,1763.000000,1763.000000,3500
2023-01-24,1793.000000,1797.000000,1775.000000,1791.000000,1791.000000,2500
2023-01-25,1790.000000,1798.000000,1765.000000,1769.000000,1769.000000,1900
2023-01-26,1769.000000,1785.000000,1765.000000,1785.000000,1785.000000,1600
2023-01-27,1777.000000,1777.000000,1755.000000,1760.000000,1760.000000,1100
2023-01-30,1780.000000,1799.000000,1766.000000,1790.000000,1790.000000,3200
2023-01-31,1790.000000,1798.000000,1771.000000,1798.000000,1798.000000,700
2023-02-01,1762.000000,1762.000000,1759.000000,1759.000000,1759.000000,200
2023-02-02,1770.000000,1793.000000,1766.000000,1793.000000,1793.000000,700
2023-02-03,1773.000000,1773.000000,1712.000000,1745.000000,1745.000000,2700
2023-02-06,1723.000000,1742.000000,1703.000000,1710.000000,1710.000000,5500
2023-02-07,1707.000000,1712.000000,1611.000000,1658.000000,1658.000000,6700
2023-02-08,1684.000000,1684.000000,1622.000000,1637.000000,1637.000000,1400
2023-02-09,1647.000000,1670.000000,1637.000000,1670.000000,1670.000000,1900
2023-02-10,1669.000000,1669.000000,1650.000000,1652.000000,1652.000000,3200
2023-02-13,1583.000000,1585.000000,1495.000000,1506.000000,1506.000000,14900
2023-02-14,1499.000000,1514.000000,1461.000000,1500.000000,1500.000000,6100
